Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
MBCC,100,0,0.00,0,0.00,27.63,100,0
ROYA,100,0,0.00,0,0.00,25.86,100,0
YSEP,100,0,0.00,0,0.00,19.81,100,0
EGUS,98,0,0.00,0,0.00,31.64,98,0
IBMO,97,0,0.00,0,0.00,25.03,97,0
APRD,96,0,0.00,0,0.00,25.28,96,0
XVV,95,0,0.00,0,0.00,34.33,95,0
TTAC,91,0,0.00,0,0.00,53.35,91,0
IAUF,75,0,0.00,0,0.00,57.92,75,0
GAPR,74,0,0.00,0,0.00,31.38,74,0
RODE,69,0,0.00,0,0.00,25.76,69,0
VFQY,67,0,0.00,0,0.00,118.08,67,0
BLKC,65,0,0.00,0,0.00,13.52,65,0
WDNA,65,0,0.00,0,0.00,16.87,65,0
FLV,64,0,0.00,0,0.00,59.35,64,0
ESGG,57,0,0.00,0,0.00,141.05,57,0
XDJA,57,0,0.00,0,0.00,23.54,57,0
LKOR,51,0,0.00,0,0.00,42.03,51,0
VFMV,51,0,0.00,0,0.00,100.28,51,0
JULQ,50,0,0.00,0,0.00,25.02,50,0
FDEV,49,0,0.00,0,0.00,25.66,49,0
DNOV,41,0,0.00,0,0.00,36.92,41,0
RDFI,34,0,0.00,0,0.00,22.11,34,0
FDHT,32,0,0.00,0,0.00,18.15,32,0
IPPP,28,0,0.00,0,0.00,9.36,28,0
HFGO,24,0,0.00,0,0.00,15.81,24,0
IBHH,23,0,0.00,0,0.00,22.55,23,0
UFEB,22,0,0.00,0,0.00,28.19,22,0
IPDP,21,0,0.00,0,0.00,16.68,21,0
UJAN,21,0,0.00,0,0.00,33.22,21,0
RVRB,20,0,0.00,0,0.00,23.54,20,0
NAPR,16,0,0.00,0,0.00,42.37,16,0
XUSP,16,0,0.00,0,0.00,28.96,16,0
AFIF,10,0,0.00,0,0.00,8.95,10,0
BBIP,10,0,0.00,0,0.00,97.50,10,0
SFIG,10,0,0.00,0,0.00,46.83,10,0
WBAT,10,0,0.00,0,0.00,32.59,10,0
PSMJ,9,0,0.00,0,0.00,23.89,9,0
